"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"SR_BH_steep" 15 "SR_BH_steep" 0.8 NA -2 0.2 0.99 0.8 0.8 NA NA NA "Normal" 0.8 1000 0 0.8 0.8 0.8 0.2079 0.279 0.358 0.437 0.516 0.595 0.674 0.753 0.832 0.911 0.9821 0 0 0 1.75291e-07 1.3572e-07 9.7682e-08 6.58845e-08 4.0328e-08 2.10125e-08 7.938e-09 1.1045e-09 5.12e-10 6.1605e-09 1.65802e-08
"SR_sigmaR" 16 "SR_sigmaR" 0.2 NA -4 0.05 1.9 0.2 0.2 NA NA NA "Normal" 0.2 1000 0 0.2 0.2 0.2 0.0685 0.235 0.42 0.605 0.79 0.975 1.16 1.345 1.53 1.715 1.8815 0 0 0 8.64613e-09 6.125e-10 2.42e-08 8.20125e-08 1.7405e-07 3.00312e-07 4.608e-07 6.55512e-07 8.8445e-07 1.14761e-06 1.41372e-06
"SR_regime" 17 "SR_regime" 0 NA -1 -4 4 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_autocorr" 18 "SR_autocorr" 0 NA -1 0 0 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_10" 19 "Early_InitAge_10" 0.020387 2 2 -5 5 0 0 "act" 0.201864 -4.16692e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_9" 20 "Early_InitAge_9" 0.00873497 3 2 -5 5 0 0 "act" 0.200842 -1.70987e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_8" 21 "Early_InitAge_8" 0.0125718 4 2 -5 5 0 0 "act" 0.201193 -2.65504e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_7" 22 "Early_InitAge_7" 0.0181356 5 2 -5 5 0 0 "act" 0.201681 -3.93151e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_6" 23 "Early_InitAge_6" 0.0262374 6 2 -5 5 0 0 "act" 0.202358 -4.51941e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_5" 24 "Early_InitAge_5" 0.038058 7 2 -5 5 0 0 "act" 0.203292 1.00201e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_4" 25 "Early_InitAge_4" 0.054719 8 2 -5 5 0 0 "act" 0.204515 0.000151447 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_3" 26 "Early_InitAge_3" 0.072698 9 2 -5 5 0 0 "act" 0.205391 -0.000140473 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_2" 27 "Early_InitAge_2" 0.0763372 10 2 -5 5 0 0 "act" 0.2045 4.94974e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_1" 28 "Early_InitAge_1" 0.0960772 11 2 -5 5 0 0 "act" 0.2048 -4.54684e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1952" 29 "Main_RecrDev_1952" 0.15948 12 1 -5 5 0 0 "act" 0.202883 -8.05407e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1953" 30 "Main_RecrDev_1953" 0.186926 13 1 -5 5 0 0 "act" 0.199728 -7.01945e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1954" 31 "Main_RecrDev_1954" 0.143942 14 1 -5 5 0 0 "act" 0.196831 -6.39813e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1955" 32 "Main_RecrDev_1955" 0.0961254 15 1 -5 5 0 0 "act" 0.19601 -3.29003e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1956" 33 "Main_RecrDev_1956" 0.0863427 16 1 -5 5 0 0 "act" 0.194277 7.05806e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1957" 34 "Main_RecrDev_1957" 0.116659 17 1 -5 5 0 0 "act" 0.195168 4.97242e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1958" 35 "Main_RecrDev_1958" 0.131548 18 1 -5 5 0 0 "act" 0.195544 -2.82745e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1959" 36 "Main_RecrDev_1959" 0.139441 19 1 -5 5 0 0 "act" 0.19337 2.77627e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1960" 37 "Main_RecrDev_1960" 0.13357 20 1 -5 5 0 0 "act" 0.193686 0.000110743 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1961" 38 "Main_RecrDev_1961" 0.141827 21 1 -5 5 0 0 "act" 0.190806 4.72156e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1962" 39 "Main_RecrDev_1962" 0.0902851 22 1 -5 5 0 0 "act" 0.189895 1.95346e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1963" 40 "Main_RecrDev_1963" 0.0266074 23 1 -5 5 0 0 "act" 0.191487 -2.75019e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1964" 41 "Main_RecrDev_1964" 0.0296857 24 1 -5 5 0 0 "act" 0.192731 -5.86613e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1965" 42 "Main_RecrDev_1965" 0.0116891 25 1 -5 5 0 0 "act" 0.192353 -2.30111e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1966" 43 "Main_RecrDev_1966" -0.00543987 26 1 -5 5 0 0 "act" 0.191912 -2.33711e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1967" 44 "Main_RecrDev_1967" -0.0231532 27 1 -5 5 0 0 "act" 0.191898 -1.69639e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1968" 45 "Main_RecrDev_1968" -0.00985652 28 1 -5 5 0 0 "act" 0.191105 -1.32344e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1969" 46 "Main_RecrDev_1969" 0.00673945 29 1 -5 5 0 0 "act" 0.188482 -5.44187e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1970" 47 "Main_RecrDev_1970" -0.0388372 30 1 -5 5 0 0 "act" 0.183766 -5.21591e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1971" 48 "Main_RecrDev_1971" -0.056397 31 1 -5 5 0 0 "act" 0.183817 1.29513e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1972" 49 "Main_RecrDev_1972" -0.0133668 32 1 -5 5 0 0 "act" 0.183758 -6.30811e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1973" 50 "Main_RecrDev_1973" -0.027889 33 1 -5 5 0 0 "act" 0.185524 -6.98309e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1974" 51 "Main_RecrDev_1974" 0.00293542 34 1 -5 5 0 0 "act" 0.184748 -2.56074e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1975" 52 "Main_RecrDev_1975" -0.098786 35 1 -5 5 0 0 "act" 0.181851 3.35339e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1976" 53 "Main_RecrDev_1976" -0.123238 36 1 -5 5 0 0 "act" 0.178571 0.000133811 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1977" 54 "Main_RecrDev_1977" -0.0157495 37 1 -5 5 0 0 "act" 0.17173 0.00017517 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1978" 55 "Main_RecrDev_1978" -0.0455554 38 1 -5 5 0 0 "act" 0.152087 5.54661e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1979" 56 "Main_RecrDev_1979" 0.136517 39 1 -5 5 0 0 "act" 0.142132 9.07855e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1980" 57 "Main_RecrDev_1980" 0.166754 40 1 -5 5 0 0 "act" 0.135971 -1.47422e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1981" 58 "Main_RecrDev_1981" 0.0235415 41 1 -5 5 0 0 "act" 0.12491 4.3777e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1982" 59 "Main_RecrDev_1982" -0.231604 42 1 -5 5 0 0 "act" 0.145269 4.8853e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1983" 60 "Main_RecrDev_1983" -0.0236363 43 1 -5 5 0 0 "act" 0.137543 4.3298e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1984" 61 "Main_RecrDev_1984" -0.301357 44 1 -5 5 0 0 "act" 0.140095 -0.000213352 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1985" 62 "Main_RecrDev_1985" -0.231552 45 1 -5 5 0 0 "act" 0.132787 -5.6382e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1986" 63 "Main_RecrDev_1986" -0.488284 46 1 -5 5 0 0 "act" 0.139885 -0.000201777 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1987" 64 "Main_RecrDev_1987" -0.054112 47 1 -5 5 0 0 "act" 0.148936 9.23344e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1988" 65 "Main_RecrDev_1988" 0.272387 48 1 -5 5 0 0 "act" 0.146144 0.000174127 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1989" 66 "Main_RecrDev_1989" -0.016406 49 1 -5 5 0 0 "act" 0.152978 0.000122426 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1990" 67 "Main_RecrDev_1990" -0.0660358 50 1 -5 5 0 0 "act" 0.159653 -0.000190111 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1991" 68 "Main_RecrDev_1991" -0.0572582 51 1 -5 5 0 0 "act" 0.163724 -4.11578e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1992" 69 "Main_RecrDev_1992" 0.117128 52 1 -5 5 0 0 "act" 0.163133 6.99748e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1993" 70 "Main_RecrDev_1993" 0.155024 53 1 -5 5 0 0 "act" 0.163905 -6.17441e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1994" 71 "Main_RecrDev_1994" 0.152299 54 1 -5 5 0 0 "act" 0.154967 -9.117e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1995" 72 "Main_RecrDev_1995" -0.118498 55 1 -5 5 0 0 "act" 0.15856 7.69773e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1996" 73 "Main_RecrDev_1996" 0.124804 56 1 -5 5 0 0 "act" 0.132076 -3.06509e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1997" 74 "Main_RecrDev_1997" 0.656406 57 1 -5 5 0 0 "act" 0.0945121 2.68649e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1998" 75 "Main_RecrDev_1998" 0.290412 58 1 -5 5 0 0 "act" 0.0970271 -2.06216e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1999" 76 "Main_RecrDev_1999" 0.384119 59 1 -5 5 0 0 "act" 0.0874335 1.59701e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2000" 77 "Main_RecrDev_2000" 0.0701866 60 1 -5 5 0 0 "act" 0.0942277 5.89006e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2001" 78 "Main_RecrDev_2001" -0.0592712 61 1 -5 5 0 0 "act" 0.101521 2.72996e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2002" 79 "Main_RecrDev_2002" 0.18107 62 1 -5 5 0 0 "act" 0.100644 9.45851e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2003" 80 "Main_RecrDev_2003" 0.00405075 63 1 -5 5 0 0 "act" 0.131169 1.53226e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2004" 81 "Main_RecrDev_2004" 0.179052 64 1 -5 5 0 0 "act" 0.123486 -1.49763e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2005" 82 "Main_RecrDev_2005" 0.0100261 65 1 -5 5 0 0 "act" 0.12524 7.48706e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2006" 83 "Main_RecrDev_2006" -0.0370879 66 1 -5 5 0 0 "act" 0.115703 2.43742e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2007" 84 "Main_RecrDev_2007" -0.0867272 67 1 -5 5 0 0 "act" 0.12205 2.64088e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2008" 85 "Main_RecrDev_2008" -0.0814403 68 1 -5 5 0 0 "act" 0.119874 -3.98191e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2009" 86 "Main_RecrDev_2009" -0.260861 69 1 -5 5 0 0 "act" 0.119702 -1.04841e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2010" 87 "Main_RecrDev_2010" -0.333596 70 1 -5 5 0 0 "act" 0.112474 -1.59845e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2011" 88 "Main_RecrDev_2011" -0.401842 71 1 -5 5 0 0 "act" 0.106738 1.90588e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2012" 89 "Main_RecrDev_2012" -0.299642 72 1 -5 5 0 0 "act" 0.108328 1.14418e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2013" 90 "Main_RecrDev_2013" -0.0758173 73 1 -5 5 0 0 "act" 0.101005 -4.7553e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2014" 91 "Main_RecrDev_2014" -0.173632 74 1 -5 5 0 0 "act" 0.094617 5.24348e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2015" 92 "Main_RecrDev_2015" -0.20187 75 1 -5 5 0 0 "act" 0.0996576 -4.38245e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2016" 93 "Main_RecrDev_2016" -0.175073 76 1 -5 5 0 0 "act" 0.106065 -2.40038e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2017" 94 "Main_RecrDev_2017" -0.0758308 77 1 -5 5 0 0 "act" 0.104097 1.81534e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2018" 95 "Main_RecrDev_2018" -0.235317 78 1 -5 5 0 0 "act" 0.107405 -9.90306e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2019" 96 "Main_RecrDev_2019" -0.240643 79 1 -5 5 0 0 "act" 0.108032 -3.88907e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2020" 97 "Main_RecrDev_2020" 0.188527 80 1 -5 5 0 0 "act" 0.112608 -2.36015e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2021" 98 "Main_RecrDev_2021" 0.169557 81 1 -5 5 0 0 "act" 0.154598 -3.23209e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Late_RecrDev_2022" 99 "Late_RecrDev_2022" 0.0295134 82 6 -5 5 0 0 "act" 0.186824 -4.18886e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
