id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
mfcl-v11,8,Fishery_8,yes,LEN,1,10,0,0,0,0,0,0
mfcl-v11,8,Fishery_8,yes,LEN,1,12,0,0,0,0,0,0
mfcl-v11,8,Fishery_8,yes,LEN,1,14,0,0,0,0,0,0
mfcl-v11,8,Fishery_8,yes,LEN,1,16,5.88351230122278e-05,5.72930983571149e-05,1.54202465511289e-06,22.06848087,22.06848087,22.06848087
mfcl-v11,8,Fishery_8,yes,LEN,1,18,7.94437255961097e-05,0.000193366515592998,-0.000113922789996888,29.79856672,29.79856672,29.79856672
mfcl-v11,8,Fishery_8,yes,LEN,1,20,8.44046918460033e-05,0.000506354427271783,-0.000421949735425779,31.65937678,31.65937678,31.65937678
mfcl-v11,8,Fishery_8,yes,LEN,1,22,0.000153001917849382,0.00112959431687469,-0.00097659239902531,57.38952728,57.38952728,57.38952728
mfcl-v11,8,Fishery_8,yes,LEN,1,24,0.000344550439255648,0.00213349872257063,-0.00178894828331498,129.23750964,129.23750964,129.23750964
mfcl-v11,8,Fishery_8,yes,LEN,1,26,0.00103394554071901,0.00345609593883982,-0.0024221503981208,387.82288908,387.82288908,387.82288908
mfcl-v11,8,Fishery_8,yes,LEN,1,28,0.00243748262132237,0.0052923618247427,-0.00285487920342033,914.27596044,914.27596044,914.27596044
mfcl-v11,8,Fishery_8,yes,LEN,1,30,0.00475786687237887,0.00690919939148042,-0.00215133251910155,1784.62946416,1784.62946416,1784.62946416
mfcl-v11,8,Fishery_8,yes,LEN,1,32,0.00715677119626142,0.00848341589237128,-0.00132664469610985,2684.4350814536,2684.4350814536,2684.4350814536
mfcl-v11,8,Fishery_8,yes,LEN,1,34,0.0107806681527112,0.0103106416190861,0.000470026533625063,4043.72348885,4043.72348885,4043.72348885
mfcl-v11,8,Fishery_8,yes,LEN,1,36,0.0166029203805655,0.0139941605149351,0.0026087598656304,6227.59351975,6227.59351975,6227.59351975
mfcl-v11,8,Fishery_8,yes,LEN,1,38,0.0267292452691968,0.0187760762536413,0.00795316901555552,10025.87923153,10025.87923153,10025.87923153
mfcl-v11,8,Fishery_8,yes,LEN,1,40,0.0320502076324747,0.0252206512270992,0.00682955640537557,12021.7203229064,12021.7203229064,12021.7203229064
mfcl-v11,8,Fishery_8,yes,LEN,1,42,0.0467510753219108,0.0332056100796604,0.0135454652422504,17535.872427412,17535.872427412,17535.872427412
mfcl-v11,8,Fishery_8,yes,LEN,1,44,0.0600871179315742,0.043077723146872,0.0170093947847023,22538.091954542,22538.091954542,22538.091954542
mfcl-v11,8,Fishery_8,yes,LEN,1,46,0.0742446089885838,0.0543538175451332,0.0198907914434506,27848.428783342,27848.428783342,27848.428783342
mfcl-v11,8,Fishery_8,yes,LEN,1,48,0.091166541421171,0.0666536703426657,0.0245128710785053,34195.680612736,34195.680612736,34195.680612736
mfcl-v11,8,Fishery_8,yes,LEN,1,50,0.0783774046015067,0.0780033175521819,0.000374087049324776,29398.6001139,29398.6001139,29398.6001139
mfcl-v11,8,Fishery_8,yes,LEN,1,52,0.0724554560149777,0.0857880504521611,-0.0133325944371833,27177.33495112,27177.33495112,27177.33495112
mfcl-v11,8,Fishery_8,yes,LEN,1,54,0.068558318805243,0.0877525728921124,-0.0191942540868694,25715.55678941,25715.55678941,25715.55678941
mfcl-v11,8,Fishery_8,yes,LEN,1,56,0.0617233035355125,0.0833452042612396,-0.0216219007257271,23151.80921817,23151.80921817,23151.80921817
mfcl-v11,8,Fishery_8,yes,LEN,1,58,0.0563326796090005,0.0739458026934338,-0.0176131230844333,21129.838753778,21129.838753778,21129.838753778
mfcl-v11,8,Fishery_8,yes,LEN,1,60,0.0429287164802849,0.0619214166239115,-0.0189927001436266,16102.142902326,16102.142902326,16102.142902326
mfcl-v11,8,Fishery_8,yes,LEN,1,62,0.0351505106728771,0.0499042767750412,-0.0147537661021642,13184.613758586,13184.613758586,13184.613758586
